PC	eigenvalue	proportion of total	cumulative proportion
0	221396.91644	0.27705	0.27705
1	109350.49019	0.13684	0.41388
2	86366.96493	0.10808	0.52196
3	81039.57343	0.10141	0.62337
4	81205.2759	0.10162	0.72499
5	63458.94265	0.07941	0.8044
6	53495.06882	0.06694	0.87134
7	51111.43566	0.06396	0.9353
8	51707.08754	0.0647	1
9	8.9901E-17	1.125E-22	1
