<Phenotype>
taxa	covariate	covariate	covariate
Taxa	PC1	PC2	PC3
ABC01	349.19113	202.37793	1.031342
ABC02	309.40927	114.95852	2.2135258
ABC03	359.6841	220.3824	-1.4985033
ABC04	352.3908	204.76895	3.2914522
ABC05	363.55432	205.30222	5.047253
ABC06	146.25519	-428.1972	14.713673
GP01	128.92154	-768.0941	51.91557
SJS01	-687.7262	103.54358	168.90082
OFS01	-709.73834	109.79711	475.37952
RF01	-611.9418	35.16064	-720.9946
